Brand,Model,Price Range (INR),Exact Approx. Price (INR),Base Variant,RAM (GB),Internal Storage (GB),Primary Rear Camera (MP),Battery (mAh),Charging Speed (W),Best For
Redmi,Redmi 14,10000 - 20000,12999,"6GB RAM, 128GB ROM",6,128,50,5000,18,"Budget-conscious, Good display"
Realme,Realme C65,10000 - 20000,11999,"4GB RAM, 64GB ROM",4,64,50,5000,15,"Stylish design, Essential features"
Samsung,Galaxy M15 5G,10000 - 20000,14499,"4GB RAM, 128GB ROM",4,128,50,6000,25,"Long battery life, Reliable brand"
Oppo,Oppo A2m 5G,10000 - 20000,13990,"6GB RAM, 128GB ROM",6,128,50,5000,33,"Decent camera, Sleek look"
Vivo,Vivo Y18e,10000 - 20000,11499,"4GB RAM, 64GB ROM",4,64,13,5000,15,Basic tasks and media
Moto,Moto G Power (2025),10000 - 20000,15999,"6GB RAM, 128GB ROM",6,128,50,6000,15,"Excellent battery life, Clean Android"
Realme,Realme Narzo 70i,10000 - 20000,10999,"4GB RAM, 64GB ROM",4,64,13,5000,10,"Entry-level, Reliable performance"
Samsung,Galaxy A06,10000 - 20000,10499,"4GB RAM, 64GB ROM",4,64,13,5000,15,Basic smartphone usage
Vivo,Vivo Y03,10000 - 20000,9999,"4GB RAM, 64GB ROM",4,64,13,5000,10,Affordable Vivo option
Oppo,Oppo A1X,10000 - 20000,12490,"4GB RAM, 128GB ROM",4,128,50,5000,10,Stylish entry-level phone
Redmi,Redmi Note 13 Pro 5G,20001 - 30000,24999,"8GB RAM, 128GB ROM",8,128,200,5000,67,"High-res camera, Good performance"
Realme,Realme 12 Pro 5G,20001 - 30000,25999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,67,"Versatile camera, Stylish design"
Samsung,Galaxy A16 5G,20001 - 30000,21999,"6GB RAM, 128GB ROM",6,128,50,5000,25,Improved features over M series
Oppo,Oppo A3 Pro 5G,20001 - 30000,22990,"8GB RAM, 128GB ROM",8,128,64 (OIS),5000,67,"Enhanced durability, Good camera"
Vivo,Vivo Y200 5G,20001 - 30000,23999,"8GB RAM, 128GB ROM",8,128,64 (OIS),4800,44,Better performance and camera
OnePlus,Nord N30 SE,20001 - 30000,26999,"8GB RAM, 128GB ROM",8,128,64,5000,33,"Smooth experience, Fast charging"
Moto,Moto G84 5G,20001 - 30000,28999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,30,"Lightweight, Good display, Clean Android"
iQOO,iQOO Z9 5G,20001 - 30000,29990,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,44,"Gaming-focused, Fast charging"
Redmi,Redmi Note 13 5G,20001 - 30000,21999,"8GB RAM, 256GB ROM",8,256,108,5000,33,Good balance of features and price
Realme,Realme 11 Pro 5G,20001 - 30000,23999,"8GB RAM, 128GB ROM",8,128,100 (OIS),5000,67,"Camera-centric, Premium design"
Samsung,Galaxy A25 5G,20001 - 30000,26999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,25,"Good display, Reliable performance"
Oppo,Oppo F27 Pro+ 5G,20001 - 30000,27990,"8GB RAM, 128GB ROM",8,128,64 (OIS),5000,67,"Premium design, Fast charging"
Vivo,Vivo T3 5G,20001 - 30000,22999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,44,"Good performance, Affordable 5G"
OnePlus,Nord CE3 Lite 5G (If avail.),20001 - 30000,20999,"8GB RAM, 128GB ROM",8,128,108,5000,67,"Large battery, Fast charging"
Moto,Moto G73 5G (If avail.),20001 - 30000,21999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,30,"Clean Android, Good performance"
iQOO,iQOO Z7 Pro 5G (If avail.),20001 - 30000,23990,"8GB RAM, 128GB ROM",8,128,64 (OIS),4600,66,"Stylish design, Good performance"
Redmi,Redmi Note 12 Pro+ 5G (If avail.),20001 - 30000,25999,"8GB RAM, 256GB ROM",8,256,200,5000,120,"Super-fast charging, High-res camera"
Realme,Realme 10 Pro+ 5G (If avail.),20001 - 30000,22999,"6GB RAM, 128GB ROM",6,128,108,5000,67,"Curved display, Stylish design"
Samsung,Galaxy M34 5G (If avail.),20001 - 30000,20999,"6GB RAM, 128GB ROM",6,128,50,6000,25,"Large battery, Good display"
Oppo,Oppo F25 Pro 5G (If avail.),20001 - 30000,23990,"8GB RAM, 128GB ROM",8,128,64,5000,67,"Sleek design, Good camera"
Vivo,Vivo V27e 5G (If avail.),20001 - 30000,21999,"8GB RAM, 128GB ROM",8,128,64 (OIS),4600,44,"Stylish design, Good camera"
Redmi,Xiaomi 14i,30001 - 40000,34999,"8GB RAM, 256GB ROM",8,256,200,5000,67,"High-end photography, Performance"
Realme,Realme GT Neo 6 SE,30001 - 40000,31999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5500,100,"High-performance chipset, Fast charging"
Samsung,Galaxy A36 5G,30001 - 40000,33999,"8GB RAM, 128GB ROM",8,128,50 (OIS),5000,25,"Premium feel, Good all-around"
Oppo,Reno 11F 5G,30001 - 40000,32990,"8GB RAM, 256GB ROM",8,256,64 (OIS),4800,67,Focus on camera and sleek design
